,name,Image
Animal,"水生動物,鳥類,哺乳,昆蟲,極地,史前,爬蟲",
Area,"非洲,美國,亞洲,歐洲,南北極,大洋洲,台灣",
Art,"建築,服裝,舞蹈,戲劇,手工藝,音樂,繪畫,雕塑",
Cognition,"ABC,顏色,形狀,ㄅㄆㄇ",
Math,"數數,測量,月份,時間,星期",
Natural,"氣候,食物,礦物,天災,星球,植物,環境,水",
Role,"原住民,故事中的人物,家族成員,生活中的人物,職業",
Science,"身體,電腦,電力,實驗,材料,機械,軍事",
Society,"社區,文化,節慶,理財,政府,歷史,家,生活,機構,學校",
Sport,"球類運動,民俗技藝,田徑,水上運動",
Traffic,"空中,陸地,水上",
